Josh Allen	BUF	605.2	400.1	4572.5	34	13.3	110.9	520.1	7.7	5.1	380.2
Patrick Mahomes II	KC	629.5	418.2	5019.5	38.5	9.1	55.3	267.2	2.9	2.5	376.1
Kyler Murray	ARI	591	391.6	4218.1	26.7	12.9	126.5	702.1	7.7	3.7	358.9
Lamar Jackson	BAL	462.1	296.1	3377.1	28.3	12.2	152.9	919.4	6.7	4	348
Dak Prescott	DAL	623	416.1	4847.3	31.1	11.1	63.5	296.6	4	4.2	341.5
Russell Wilson	SEA	575.5	384	4287.8	34.7	12.3	81.8	441.1	2.1	3.5	335
Aaron Rodgers	GB	572	385.9	4451.2	36.8	7.2	39.9	168.6	1.9	3.1	332.9
Justin Herbert	LAC	615.4	399.4	4577.3	30.5	12	61.2	273	4.4	2.6	329.3
Tom Brady	TB	621.3	404.6	4697.7	37.2	11.9	24.5	31.8	2.1	2.2	324.1
Jalen Hurts	PHI	539.9	329.6	3729.1	22.4	14.4	134.1	691.6	5.9	4.7	305.2
Ryan Tannehill	TEN	528	348.5	4109.7	30	10.5	51.8	229.3	3.5	2.9	301.4
Joe Burrow	CIN	612.2	399.9	4313.9	26.5	11.8	54.1	227.2	3	4.2	287.4
Matthew Stafford	LAR	612.2	405.4	4565.4	28.5	11.5	31.7	120.6	0.7	3.2	283.5
Trevor Lawrence	JAC	593.4	382.2	4193.1	24.7	13.1	68.8	334.1	2.3	6.2	274.9
Kirk Cousins	MIN	541.6	364.1	4272.2	29.8	13	35.3	114.2	1.1	4.1	273.9
Matt Ryan	ATL	612	400.1	4502.2	27.1	13	33	117.7	1.4	4.3	273.8
Baker Mayfield	CLE	543.3	346.7	3991.4	28	11.5	44.2	168.4	1.8	3.4	269.6
Tua Tagovailoa	MIA	574.2	374.1	3946.9	25.9	13.5	55.7	211.7	2.8	1.7	268.8
Derek Carr	LV	564.1	373.3	4301.6	26.7	11.1	30.4	106.6	1.8	5.2	267.1
Ryan Fitzpatrick	WAS	582.7	385.1	4115.3	23.4	16.6	50.6	244.6	3	2.3	263.1
Ben Roethlisberger	PIT	617.4	400.4	4171.5	29.3	14	20.9	44.8	0.5	2.2	259.1
Justin Fields	CHI	533	336.2	3625.8	22.3	12.7	92.1	458	3.4	9	257.3
Carson Wentz	IND	536.6	336.5	3701.2	24.8	12.6	58.3	254.4	2.8	5.9	252.2
Daniel Jones	NYG	547.7	343	3756.5	22.1	13.8	70.2	402.7	2.6	8.5	249.9
Sam Darnold	CAR	556.2	350.8	3923	22.2	15	50.3	220	3.3	3.9	249.8
Zach Wilson	NYJ	554.6	351.2	3950.5	21.5	15.4	66.9	319.4	2.5	6.5	247.1
Trey Lance	SF	423.7	274.3	3177.3	20	11	85	448.8	3.5	5	241.2
Jared Goff	DET	579.4	371.3	4155.3	22.4	14.9	39.9	89.3	1.7	4.2	236.6
Teddy Bridgewater	DEN	474.4	309.9	3511.7	20.8	13.1	50	209.9	2.6	2.3	229.4
Jameis Winston	NO	448.7	289.9	3257	22.4	14.4	41.5	177.1	1	4.2	206.3
Cam Newton	NE	303.5	198.4	2191.4	13	9.8	83.8	355.5	5.7	2.3	184.8
Deshaun Watson	HOU	315.3	214.9	2568.9	15.3	7	45.4	214.7	2.2	2	180.8
Tyrod Taylor	HOU	295.7	182.7	2078.4	10.9	5.5	30.9	143.8	1.2	1.1	135.3
Taysom Hill	NO	135.8	90.5	957.4	5.4	3.3	66.7	353.3	4.4	3	109
Mac Jones	NE	221.2	138.7	1561.3	9.1	6.2	18.6	69	0.9	1.2	96.2
