Jonathan Taylor	IND	327.8	1610	14.8	42.3	352.9	2	2.3	313.6
Christian McCaffrey	CAR	238.5	1058.4	7.5	89.2	759.8	4.1	1.4	293.1
Austin Ekeler	LAC	220.7	982.6	9.4	74.5	664.9	5.3	1.5	287.7
Derrick Henry	TEN	374.9	1681.8	13.1	27.5	216.2	0.9	2.4	282.7
Joe Mixon	CIN	286.6	1202.7	9.8	47.6	346.2	2.6	1.6	249.5
Dalvin Cook	MIN	276	1248.8	9.9	45	336.1	1.5	2.6	244
Najee Harris	PIT	297.3	1173.9	7.8	60.7	399.4	2.1	1.6	243.7
Alvin Kamara	NO	218.9	892.8	7.5	55.6	490.7	3.8	1.2	231.9
Aaron Jones	GB	192.3	914.7	6.1	61.1	500.9	3.9	1.2	229.6
Leonard Fournette	TB	222.1	936	8.9	60.6	412.8	2.1	1.3	228.7
D'Andre Swift	DET	215.4	908.8	6.6	65.4	479.4	2.5	1.9	222.1
James Conner	ARI	227	921.8	10.2	43.8	355.8	2.3	1.6	221.6
Saquon Barkley	NYG	236.6	989.7	6.4	56.5	414.2	2.2	1.5	216.9
Javonte Williams	DEN	225.7	999	7.6	45.7	345	2.7	1.7	215.5
David Montgomery	CHI	244.5	986	7.7	45.3	350	1.9	1.5	210.8
Nick Chubb	CLE	247.2	1224.1	8.7	24.9	201.3	1	1.6	210.3
Ezekiel Elliott	DAL	227.6	958.1	7.9	41	279.4	2	1.8	200.4
Antonio Gibson	WAS	236.4	992.3	7.8	37.2	269.1	2	2.4	199
Cam Akers	LAR	240.5	1043.4	7.1	35.2	283.4	1.6	3.3	195.9
Josh Jacobs	LV	223.1	941	8.1	38.1	264.6	0.9	1.9	190.1
Travis Etienne Jr.	JAC	176.3	815.3	5.6	48.8	398.2	2	1.7	188
J.K. Dobbins	BAL	194.2	941.1	8.2	31.4	228.7	1.3	1	187.9
Elijah Mitchell	SF	241.5	1042.4	7.4	26.1	197	1.3	1.2	186.7
Breece Hall	NYJ	214.3	938.1	5.9	39.8	315.1	1.6	2	186.6
Miles Sanders	PHI	207.9	1058	5.7	32.1	230	1.1	2	182
Damien Harris	NE	212.8	961.8	9.9	16.6	125.7	0.3	1.4	175.6
Cordarrelle Patterson	ATL	144	630.6	4.7	44.6	411.2	2.8	0.9	170.1
Devin Singletary	BUF	183.3	846.3	6	33.2	222.3	1.3	1.3	164.9
Tony Pollard	DAL	154.4	738.4	3.8	44.2	361.6	1.9	0.9	164.3
Rashaad Penny	SEA	189.6	975.7	6.7	19.6	147.8	0.6	1.2	163.3
AJ Dillon	GB	178.3	772.6	6.2	31.7	261.1	1.5	1.2	163
Clyde Edwards-Helaire	KC	176	709.3	4.9	33.8	249.1	1.8	1.1	151
Kareem Hunt	CLE	134.1	571.8	4.8	41.5	316.7	1.9	0.8	148.5
Chase Edmonds	MIA	141.8	625.4	3.4	45	322.6	1.6	0.9	145.6
Rhamondre Stevenson	NE	169.6	705.2	6.2	25.9	198.6	0.8	1	143.4
Melvin Gordon III	DEN	153.9	698.9	6.2	24.2	183.3	1.3	1.9	141.7
James Robinson	JAC	151.2	619.2	5.1	23.3	174.1	0.7	1.2	123.5
James Cook	BUF	109.9	505.3	3.9	30.9	249.2	1.8	1.3	122.9
Ken Walker III	SEA	161.9	704.7	4.8	18.6	142.1	0.5	1.8	122.1
Michael Carter	NYJ	127.1	527	3	30.8	260.9	1	0.8	116.9
Marlon Mack	HOU	148	686.4	4.4	16.7	122.3	0.5	1	116.8
Darrell Henderson Jr.	LAR	125.9	518.9	3.9	22.9	179.4	1.4	0.7	111.6
Jamaal Williams	DET	139.4	574.5	3.5	23	151.1	0.8	0.8	108.5
Isaiah Spiller	LAC	107.9	458.6	3.4	25.1	202.1	1.4	1.3	104.9
Raheem Mostert	MIA	116.8	581.1	3.9	15.6	124.2	0.9	1.4	104.3
Dameon Pierce	HOU	130.4	518.5	3.5	22.8	176.7	0.8	1.8	103.1
