Patrick Mahomes II	KC	609.6	405.4	4833.2	37.7	11.2	64.9	356.8	3.2	1.9	383.9
Josh Allen	BUF	575.5	363.2	4278.2	32.1	14.2	117	662	6.3	4.2	380.7
Jalen Hurts	PHI	494	318.1	3823.1	23.8	10.1	157.6	800.9	11	2.9	378.4
Lamar Jackson	BAL	479.3	304.2	3474.1	25.5	11.5	148.6	941.3	5.5	3	350.6
Joe Burrow	CIN	592.1	402.7	4592.2	32.6	12.9	64.2	270.5	3.7	2.3	346
Justin Fields	CHI	408	250.8	2911.9	20.2	12.8	161.3	1070.1	6.9	3.5	326
Justin Herbert	LAC	627.7	422	4595.8	30.1	12.7	57.1	220.8	2	2	321.6
Deshaun Watson	CLE	507.8	326.5	3871.6	24.9	11	96.1	482	4.1	1.8	312.8
Kirk Cousins	MIN	592.6	395.1	4442.6	30.7	12.3	31.4	92	1.5	2.8	301
Trevor Lawrence	JAC	579.2	378.8	4091.9	26.8	12.2	62.4	285.2	3.9	5.2	300.4
Dak Prescott	DAL	550.4	363.2	4109.9	29.1	13.7	58	248.5	2.3	3.1	300
Daniel Jones	NYG	515.3	335.6	3474.1	20.8	9.8	109.3	638.5	4.9	4.1	297.3
Geno Smith	SEA	543.4	370	4038.3	27.1	11.3	62.2	323.3	2	3.7	295.4
Aaron Rodgers	NYJ	565.3	366	4101.2	28.5	8.6	36	123.9	1.6	2.6	286
Russell Wilson	DEN	511.9	323.1	3814.8	24.3	10.7	63.5	317.9	2.6	2.1	282.4
Jared Goff	DET	570.5	374.8	4240.8	28	11	31	79.8	1.2	3.6	278.9
Tua Tagovailoa	MIA	523.6	342.1	4035.6	26.9	12.1	42.3	131.9	1.6	1.8	276.2
Anthony Richardson	IND	484.8	298.6	3161.3	17.6	13.2	128.8	579.4	4	2.5	260.8
Derek Carr	NO	510.5	334.9	3933.7	23.8	11.8	34.5	116.7	0.9	2.6	252.8
Kenny Pickett	PIT	502.4	317.2	3312.6	17.4	12.3	67	421.3	3.6	1.5	250.6
Matthew Stafford	LAR	528	350.9	3984	24.4	13.2	30	71.3	0.9	2.8	250.5
Jordan Love	GB	544.6	344.3	3813.9	23.2	14.8	43	166.6	1.5	2.6	250.5
Brock Purdy	SF	432	282.5	3369.2	23.6	9.8	36.1	107	2.1	1.4	239.9
Bryce Young	CAR	523.8	330.1	3654.2	20.4	12.9	50.9	199.4	1.6	2.3	239.6
Jimmy Garoppolo	LV	483.4	319.6	3556.7	21.3	11.6	30.3	66.5	1.5	2.3	227
C.J. Stroud	HOU	514.2	322.5	3419.7	19.3	14.1	49.8	175.5	1.4	2.5	220.8
Ryan Tannehill	TEN	448.3	291.6	3242.5	18.7	10.8	40.9	161.3	2.3	2.1	219.6
Mac Jones	NE	492.3	322.2	3436.5	19.1	13.2	50.6	148.9	1.2	2.1	218.6
Kyler Murray	ARI	433.2	285.6	2782.9	14.3	9.7	79.4	422.2	2.9	1.9	214.8
Sam Howell	WAS	478	298.5	3061.7	17	12.4	50.7	211.2	1.7	2.5	204.6
Desmond Ridder	ATL	439.1	270.7	2923.1	16.5	10.2	39.8	172.4	1.4	3	192.5
Baker Mayfield	TB	457.5	281.1	2990.7	15.9	11.4	33.8	121.3	1.1	2.1	186.4
Jacoby Brissett	WAS	193.5	112.4	1253.4	5.1	3.9	23	90.7	0.8	1.5	77.4
Kyle Trask	TB	226.5	136.9	1364.3	6	6.5	18.7	50.2	0.2	1.2	76.2
Colt McCoy	ARI	159.5	103.2	1151.5	4.5	4.5	16.9	57.5	0.5	0.9	66.4
Will Levis	TEN	137.4	85	993	4	4.5	18.3	60.5	0.3	0.9	57.5
Trey Lance	SF	126.7	78.2	802.9	3	3.5	23.1	94.3	0.6	0.9	52.1
Brian Hoyer	LV	97.8	59.4	742.1	4	4	10.4	32.5	0.2	0.8	44.8
Taylor Heinicke	ATL	99.2	60.7	706.7	3.8	4	18.1	51.1	0.2	1.2	43.4
Gardner Minshew II	IND	83.1	52.2	718.6	3	2.4	12.7	43.7	0.2	1.3	41.1
Sam Darnold	SF	126.5	73.7	619.9	2.6	3.7	15.8	45.1	0.1	1.1	34.2
Mike White	MIA	89.9	53.8	584.3	2.8	3.7	12.6	20.2	0.1	0.6	32.1
Bailey Zappe	NE	100.2	60.9	599	2.4	3.6	12	22.4	0.1	1.1	30.9
Clayton Tune	ARI	103.7	62.3	618.1	1.1	3.9	15.5	42.1	0.3	1.1	28.6
Davis Mills	HOU	84.3	49.4	514.8	1.7	4	14.5	31.8	0.2	0.6	26.5
Nate Sudfeld	DET	0	0	383.8	1.7	1.9	0	26.5	0.5	0.5	24.9
Tyrod Taylor	NYG	42	27.1	286.4	2	1.3	14.3	59.2	0.2	0.3	24.9
Brett Rypien	LAR	90.7	51.5	516.6	2	5.8	26.5	28	0.1	1	24.4
Marcus Mariota	PHI	54.7	34.3	325.7	1.6	1.2	15.4	48.9	0.3	0.4	23.8
Tyler Huntley	BAL	55.5	34.7	322.5	1.4	1.4	20.7	62.9	0.2	0.5	23.3
Sean Clifford	GB	41.5	26.8	362.6	2.1	1.7	3.4	13.5	0.2	0.3	23.1
Andy Dalton	CAR	67.5	41.9	416.3	1.9	2.4	7.4	15.9	0.1	0.4	23
Mitch Trubisky	PIT	58.4	38.4	357.5	1.6	1.7	8.3	25.3	0.2	0.2	22.4
Jarrett Stidham	DEN	60.3	34.4	350.6	2.2	2.1	5.3	11.1	0.1	0.4	21.8
Blaine Gabbert	KC	32.5	20	298.7	1.8	0.9	3.5	14.6	0.1	0.1	20.3
Zach Wilson	NYJ	154.7	84.2	594.9	0.4	7.4	8.2	14.6	0.2	0.7	19.5
Easton Stick	LAC	38.5	24.2	286.3	1.7	1.5	4	10.4	0.3	0.2	19.2
Jameis Winston	NO	38	26.2	321.6	1.5	1.4	4.6	9.4	0.2	0.2	19.2
Joshua Dobbs	CLE	54.7	32.5	337.2	1.5	2.6	10.7	27.2	0.1	0.6	19
P.J. Walker	CHI	85.5	43.4	368.7	1.6	4	9.9	21.6	0.1	0.4	19
Nick Mullens	MIN	43.3	32.5	327.4	1.9	2.1	4.7	8.6	0.1	0.7	18.7
Stetson Bennett	LAR	66.7	41.5	350.4	1.2	1.7	8.8	18.1	0.1	0.5	18.2
Trevor Siemian	CIN	62	37.7	320.9	1.7	2.7	11.5	16.8	0.1	0.5	18.1
Drew Lock	SEA	52.9	29	327.8	1.5	2.7	6	16.9	0.1	0.5	17.9
C.J. Beathard	JAC	46.9	27.4	302.8	1.5	2.8	11.1	19.2	0.1	0.5	16.7
Cooper Rush	DAL	34	21	260.8	1.5	1.2	2.9	6.6	0.1	0.2	16.1
Teddy Bridgewater	DET	81.5	42.1	357.9	0.5	1.8	6.4	19.4	0	0.3	15.9
David Blough	ARI	86	52	307.1	1.2	2	7	12.8	0	0.5	15.6
Matt Corral	CAR	76.7	44.9	411.6	0	5.1	19.4	39.5	0.2	1.5	13.5
Kyle Allen	BUF	52.1	32.3	349.9	1.2	5.1	10.6	26.1	0.2	2.2	13.2
Hendon Hooker	DET	68.2	40.7	268.7	0.6	2.1	12.5	22.9	0.2	0.6	13
Malik Willis	TEN	85.6	48.9	329.5	0.5	3.4	15.9	21.9	0	0.7	12.8
Aidan O'Connell	LV	61.7	36.5	281.4	0.5	2.1	10.8	16.9	0.1	0.6	12.5
Dorian Thompson-Robinson	CLE	46.9	28	265.3	0.5	2.6	10.2	21.8	0.1	0.8	11.3
Jaren Hall	MIN	44.4	26.6	253.9	0.5	2.5	9.7	20.1	0.1	0.7	10.9
Skylar Thompson	MIA	102.8	58.5	275.4	0.7	4.1	26.2	20.4	0	0.9	10.3
Max Duggan	LAC	21	14	144	1	0	1	3	0	0	10.1
Case Keenum	HOU	146.2	74.2	286.7	0.3	1.5	15.9	1.2	0	1	9.1
Jake Haener	NO	15	10	117	1	0	1	4	0	0	9.1
