Jonathan Taylor	IND	326.1	1602.9	14.7	42.4	353.8	2	2.3	312.7
Christian McCaffrey	CAR	238.6	1061.6	7.5	89	758.2	4.1	1.4	293.5
Austin Ekeler	LAC	221	983.5	9.4	74.4	664.8	5.3	1.5	287.8
Derrick Henry	TEN	366.2	1640.3	13	27.4	215.9	0.9	2	278.7
Alvin Kamara	NO	219.2	963.1	7.9	60	529.8	4.1	1.2	248.9
Joe Mixon	CIN	286.8	1202.4	9.8	47.1	342.1	2.6	1.6	248.7
Najee Harris	PIT	298.5	1183.8	7.7	60.7	397.1	2.1	1.6	243.9
Dalvin Cook	MIN	276.2	1241.8	9.8	44.9	334.3	1.5	2.5	242.9
Leonard Fournette	TB	227.3	949.9	9	61.1	416.7	2.1	1.3	231.3
Aaron Jones	GB	193.6	920	6.1	60.9	498.6	3.8	1.5	228.9
Saquon Barkley	NYG	244.9	1027.2	6.6	57.6	423.4	2.2	1.5	223.8
James Conner	ARI	226.5	927.4	10.3	44.1	358.5	2.3	1.6	223.1
D'Andre Swift	DET	216.2	914.6	6.5	65.4	481.2	2.5	1.9	222.4
Javonte Williams	DEN	231.7	1022.2	7.8	45.9	345.7	2.7	1.7	219
Nick Chubb	CLE	246.1	1223.8	8.5	25.2	206.1	1	1.6	209.4
David Montgomery	CHI	240.8	967.6	7.6	45.1	349.4	1.9	1.4	208.1
Ezekiel Elliott	DAL	232.3	970.9	8.1	40.8	278.2	1.8	2.1	200.7
Cam Akers	LAR	236.3	1027.5	7.1	34.9	280.8	1.6	3.3	193.9
J.K. Dobbins	BAL	195.8	948.7	8.2	33.2	242.5	1.4	1	191.4
Breece Hall	NYJ	219.6	960.3	6.2	40.4	320.9	1.6	2	191
Josh Jacobs	LV	222.3	938.2	8.1	38.4	267	0.9	1.9	190.1
Elijah Mitchell	SF	239.1	1027.8	7.3	25.8	196.6	1.3	1.2	185.1
Damien Harris	NE	215.1	977.2	10.1	18.2	135.9	0.5	1.4	181.1
Miles Sanders	PHI	204.4	1043.5	5.7	31.4	223.3	1.1	1.6	180.1
Antonio Gibson	WAS	208.8	899.2	7.1	34	247	1.5	2	179.3
Cordarrelle Patterson	ATL	142.7	625.8	4.7	43.9	402.7	2.8	0.9	168.1
Tony Pollard	DAL	157.3	749.4	3.8	45.1	369.4	1.9	1.3	166
Clyde Edwards-Helaire	KC	180.8	797.9	5.4	35.7	264.8	1.9	1.3	165.4
AJ Dillon	GB	179.6	777.1	6.2	32.6	270.5	1.5	1.2	164.7
Devin Singletary	BUF	183.6	847.5	6	33.1	222.3	1.3	1.3	164.6
Travis Etienne Jr.	JAC	177.2	691.7	4.8	45	360.7	1.8	1.4	164.3
Rashaad Penny	SEA	186.2	945.2	6.4	19.2	144.2	0.5	1.2	157.9
Rhamondre Stevenson	NE	174.3	730.6	6.4	32.3	249.5	1.1	1	157.4
Chase Edmonds	MIA	146.7	640.6	3.5	45.8	326.7	1.6	0.9	148.4
Kareem Hunt	CLE	133.3	571.9	4.7	42.2	324.5	1.8	0.8	148
Melvin Gordon III	DEN	153.5	697.1	6.2	24	181.7	1.3	1.9	141.3
James Robinson	JAC	145.5	675.9	5.7	25.9	196.4	0.8	1.4	136.5
Dameon Pierce	HOU	150.3	626.3	4.3	27.9	218	0.9	1.9	126.2
Ken Walker III	SEA	164.8	717.4	5	18.8	144.1	0.5	1.8	124.9
James Cook	BUF	110.2	506	3.9	30.9	249.1	1.8	1.3	122.5
Michael Carter	NYJ	127.2	527.4	3	31	260.7	1	0.8	117
Darrell Henderson Jr.	LAR	125.9	518.9	3.9	22.9	179.4	1.4	0.7	111.6
Marlon Mack	HOU	137	639.4	4.2	15.3	115	0.5	1	109
Jamaal Williams	DET	137.7	564.4	3.5	23	150.6	0.8	0.8	107.1
Kenneth Gainwell	PHI	91.1	379.6	4	29.8	239.2	1.3	1.1	106.5
Raheem Mostert	MIA	116.9	575.5	3.9	15.4	122.9	0.9	1.3	103.2
Nyheim Hines	IND	69.8	276.9	1.7	44.1	345.2	1.8	1.6	102.5
J.D. McKissic	WAS	51.8	227.3	1.5	46.5	364.3	1.9	0.5	102.2
Alexander Mattison	MIN	115.5	464.9	2.9	25.4	189.4	1	0.9	99.1
Mark Ingram II	NO	122.4	485.3	3.4	19.4	146.7	0.7	1	95.3
Tyler Allgeier	ATL	130.4	529.9	3	18.5	142.9	0.6	1.7	94.4
Isaiah Spiller	LAC	96.1	407.6	3.1	22.8	184.3	1.3	1.3	94.1
Brian Robinson Jr.	WAS	123.6	521	4	14.6	104.4	0.5	1.2	93.8
Gus Edwards	BAL	125.1	554.8	3.8	10	84.4	0.2	0.7	92
Rachaad White	TB	97.2	395.3	3.6	20.5	167.9	1	1.2	91.6
Rex Burkhead	HOU	75	331.3	2.5	28.3	228.9	1.1	0.5	90.6
Darrel Williams	ARI	82.4	315.2	2.8	22	184.2	0.8	0.8	81.3
Kenyan Drake	LV	77.5	313.8	2.4	25	187.7	0.8	0.5	81.1
Khalil Herbert	CHI	112.2	416.6	2.7	15.8	118.5	0.5	0.9	78.7
Jerick McKinnon	KC	45.6	215.2	1.5	26.7	219.1	1.4	0.5	72.7
Isiah Pacheco	KC	73	316.5	2.8	15.8	126.1	0.6	1.1	70.6
Ronald Jones II	KC	78.5	360.2	3.2	10.9	72.4	0.4	0.7	68.9
Damien Williams	ATL	78.4	287.3	2	20.4	148.5	0.8	0.9	68.7
D'Onta Foreman	CAR	82.5	393.1	2.4	7.7	70.4	0.2	0.9	64.4
Dontrell Hilliard	TEN	45.2	229.5	1.5	25.6	178.9	0.6	1	64.2
Zamir White	LV	77.1	327.9	2.8	10.7	89.8	0.4	1.2	63.6
Sony Michel	MIA	97.1	368.4	2.4	8.7	57	0.1	0.5	61.2
Samaje Perine	CIN	65.7	252.9	1.3	18.2	128.3	0.6	0.5	58.1
Boston Scott	PHI	65.8	287.8	2.9	8.5	64.1	0.2	0.2	57.7
Matt Breida	NYG	72.4	300.7	1.5	13	100.5	0.7	1.5	56.7
Hassan Haskins	TEN	69.1	301.5	1.9	8.2	66	0.4	1.1	52
Tyrion Davis-Price	SF	56.1	230.2	1.9	10.7	95.2	0.4	1.1	49.2
Chuba Hubbard	CAR	53.9	209.9	1.5	13.1	90.8	0.5	0.5	47.6
Kyle Juszczyk	SF	12.2	38.7	0.6	24.5	201.7	1.2	0.1	47.4
Ameer Abdullah	LV	18.8	109.6	0.5	19.1	152.5	0.5	0.4	41
D'Ernest Johnson	CLE	32.3	191.8	1.3	8.9	71.1	0.2	0.1	39.9
Brandon Bolden	LV	27.8	121.5	0.7	15.4	145.7	0.4	1	39.1
Ke'Shawn Vaughn	TB	47.2	194.8	2	6.8	45.2	0.1	0.7	38.6
Justin Jackson	DET	25.1	162.6	1.2	9.7	77.5	0.4	0.2	38.2
Jeff Wilson Jr.	SF	41.4	148.8	1.3	10	73.3	0.6	0.5	37.3
Chris Evans	CIN	27.3	100.1	0.6	15.6	113	0.8	0.1	37.1
Phillip Lindsay	IND	45.1	227.2	1.5	3.9	29.2	0.1	0.1	36.9
Joshua Kelley	LAC	43	200.5	1.2	8	58.5	0.2	0.9	36.7
Eno Benjamin	ARI	40	180.8	1.3	6.7	53.1	0.2	0.2	35.1
Mike Davis	BAL	29.7	156.4	1	10.3	65.4	0.2	0.6	33.1
Tevin Coleman	NYJ	24.9	171.4	0.9	8.1	54.7	0.1	0.3	31.8
Travis Homer	SEA	15.9	93.4	0.5	10.6	88.7	0.4	0.1	28.9
Craig Reynolds	DET	36.6	135.4	0.5	8.4	64.8	0.4	0.4	28.8
Ty Montgomery	NE	17.6	71.5	0.3	14.5	113.2	0.3	0.2	28.7
Duke Johnson Jr.	BUF	27	123	0.9	6.9	61.1	0.2	0.5	27.5
DeeJay Dallas	SEA	17.6	83.1	0.6	10.7	72.2	0.4	0.1	26.7
Zack Moss	BUF	30.2	136.6	1	4.7	34.5	0.2	0.1	26.6
J.J. Taylor	NE	22.4	121.9	1.4	4.3	29.3	0.2	0.1	26.5
Jermar Jefferson	DET	26.9	114	1.3	4.8	32.5	0	0	25
Myles Gaskin	MIA	20.5	111.2	0.6	8.8	55.3	0.1	0.3	24.9
Anthony McFarland Jr.	PIT	20.9	115.2	0.7	5.3	39.7	0.4	0.1	24.8
Benny Snell Jr.	PIT	41.6	143.9	0.9	3.8	26.1	0.1	0.2	24.2
Giovani Bernard	TB	16.1	69.5	0.4	9.6	70.1	0.5	0.1	24.1
Ryquell Armstead	JAC	5.9	99.4	0.6	6	62.7	0.2	0.1	24
Gary Brightwell	NYG	22.7	87.1	0.7	5.9	44.9	0.1	0.1	20.8
Trey Sermon	SF	20.5	91.4	0.8	4.8	31.6	0.1	0.1	20.1
Tory Carter	TEN	9.5	44.5	0.5	6.9	49.7	0.6	0	19.4
Demetric Felton Jr.	CLE	3.6	25	0.1	9.4	86	0.6	0.4	19.3
Patrick Ricard	BAL	2.7	7	0.1	11.2	76	0.8	0	19
Pierre Strong Jr.	NE	20.5	86.6	0.8	3.7	30.3	0.1	0	18.8
Jaret Patterson	WAS	6	88.1	0.6	4.3	26.5	0.2	0.1	18
Keaontay Ingram	ARI	25.1	102.8	0.5	3.1	25.6	0	0	17.3
Tony Jones Jr.	NO	28.3	90.8	0.4	4.7	30.7	0.1	0	17.2
Kene Nwangwu	MIN	21.5	84.3	0.6	3.9	24.9	0.1	0.1	17.2
Mike Boone	DEN	15	78.2	0.7	3.5	25.3	0.1	0	16.6
C.J. Ham	MIN	5.5	15.3	0.1	9.8	70.5	0.4	0	16.6
Kyren Williams	LAR	15.7	66.9	0.9	3.7	28.4	0	0.1	16.6
Darwin Thompson	SEA	0	75.6	0.6	3.8	28.8	0.2	0.1	16.4
Snoop Conner	JAC	19.9	80.6	0.4	4.6	32.7	0.1	0.1	16.3
Tyler Badie	BAL	20.9	99.7	0.5	2.5	19.3	0	0	16.1
Ryan Nall	DAL	0	29.4	0.2	7.1	63.1	0.3	0	16.1
JaMycal Hasty	SF	15	47.3	0.5	6.3	43	0	0	15.7
Dare Ogunbowale	HOU	11.9	47.1	0.1	6.8	52	0.2	0.1	15
Abram Smith	NO	20.6	85.3	0.6	1.9	13.8	0.1	0.1	14.8
Jerome Ford	CLE	17	84.8	0.5	2	18	0	0	14.4
Dwayne Washington	NO	16.8	48	0.3	4.7	40.1	0.2	0.1	14.3
Royce Freeman	HOU	15.1	61.9	0.4	4.3	27.8	0.2	0	14.2
Qadree Ollison	ATL	13.9	61.9	0.3	4.4	30.2	0.2	0.1	13.9
Keith Smith	ATL	8.1	24.4	0.2	7	45.8	0.3	0.1	13.2
Rico Dowdle	DAL	13.3	56.3	0.3	3.9	30.5	0.1	0.1	13.1
Trenton Cannon	TEN	10.4	21	0.1	5.9	51.6	0.3	0	12.8
Ty'Son Williams	IND	13.6	64.8	0.4	2.5	20.6	0.1	0	12.6
Justice Hill	BAL	9.6	41.5	0.4	3.8	27.9	0.1	0	12.2
Derrick Gore	KC	6.2	24.9	0.1	6.3	44.7	0.2	0	11.5
Jake Funk	LAR	9.6	48.3	0.4	2.9	21.8	0.1	0.1	11.5
Ty Chandler	MIN	16	60.7	0.1	4	26.5	0	0	11.1
Kylin Hill	GB	8.7	34.4	0.1	5.1	37.8	0.1	0	10.9
Alec Ingold	MIA	4.3	14.1	0.1	5.3	41.1	0.3	0	10.5
Darrynton Evans	CHI	12.2	51.6	0.2	3.2	24	0	0.1	10.5
Antonio Williams	NYG	11.2	53.9	0.4	1.8	14.2	0	0	10.2
Andrew Beck	DEN	4.7	18.9	0.2	4.4	33	0.2	0	9.4
Trestan Ebner	CHI	7.8	32.7	0.3	2.8	20.8	0.1	0.1	8.9
Giovanni Ricci	CAR	4.5	18.2	0.1	4.1	31.2	0.2	0	8.8
Alex Armah Jr.	WAS	4.8	19	0.2	3.9	27.8	0.2	0	8.7
Michael Burton	KC	5.8	30	0.3	2.6	14.8	0.2	0	8.5
Larry Rountree III	LAC	8.4	35	0.3	2.3	16.5	0.1	0.1	8.5
Jason Cabinda	DET	3.3	10.7	0.1	4.8	31.9	0.2	0	8.4
La'Mical Perine	NYJ	4.3	17.2	0.2	3.9	26.9	0.2	0	8.3
Kevin Harris	NE	8.3	34.6	0.3	2	14.5	0.1	0	8.2
Julius Chestnut	TEN	4.5	19	0.1	3.8	27.9	0.2	0	8.2
Cethan Carter	MIA	0	0.9	0	2.9	44	0.4	0	8.1
Jakob Johnson	LV	4	10.1	0.1	4.8	26.2	0.2	0	7.8
Khari Blasingame	CHI	2.4	10	0.1	4.1	30.1	0.2	0	7.8
Derek Watt	PIT	2.2	10	0.1	4.3	28.1	0.2	0	7.6
Ty Johnson	NYJ	5.4	19.6	0.1	3.2	25.8	0.1	0	7.5
Johnny Stanton IV	CLE	2.2	9.3	0.1	3.9	27.4	0.2	0	7.2
Reggie Gilliam	BUF	0	0	0	4.4	32.5	0.2	0	6.8
Deon Jackson	IND	8.5	36.3	0.3	1	7.1	0	0.1	6.8
Nick Bawden	NYJ	0	0	0	4.3	31.4	0.2	0	6.6
Patrick Taylor Jr.	GB	5.3	22.2	0.2	2.1	15.3	0.1	0.1	6.3
Adam Prentice	NO	4.4	18.7	0.1	2	14.7	0.1	0	6
Trayveon Williams	CIN	2.9	11.9	0.1	2.8	19.4	0.1	0	5.5
Jaylen Warren	PIT	8.2	32.3	0.1	1	7.2	0	0	5.2
Mekhi Sargent	JAC	2.2	8.9	0.1	2.1	16	0.1	0	4.5
