DAL	17	41	8	26	6	358	6263	0	1
MIA	17	48	12	14	5	373	6118	0	0
MIN	17	51	8	16	2	426	6900	0	2
TB	17	47	12	17	2	353	5919	0	0
NE	17	36	7	23	3	303	5540	0	0
KC	17	31	14	15	4	364	6480	0	0
NO	17	46	7	18	2	335	5721	0	0
BUF	17	42	11	19	1	289	4913	0	0
ARI	17	41	14	13	2	366	5824	0	0
IND	17	33	14	19	1	365	6057	1	0
LAR	17	50	6	19	0	372	6220	0	1
TEN	17	43	6	16	3	354	5923	0	0
GB	17	39	8	18	2	371	5875	0	0
CHI	17	49	8	8	2	407	5749	1	1
SF	17	48	11	9	2	365	5634	0	0
PIT	17	55	9	13	0	398	6460	0	0
HOU	17	32	8	17	1	452	6759	1	1
CIN	17	42	8	13	2	376	6241	0	0
WAS	17	38	8	11	2	434	6295	0	1
CLE	17	43	6	13	2	371	5569	0	0
PHI	17	29	4	12	5	385	5811	0	0
SD	17	35	10	11	1	459	6353	0	1
NYG	17	34	7	15	1	416	6236	1	0
DEN	17	36	6	13	1	322	5792	0	0
SEA	17	34	7	11	0	366	6698	1	1
NYJ	17	33	7	7	1	504	7033	0	1
CAR	17	39	7	9	0	404	5494	1	0
ATL	17	18	8	12	2	459	6346	1	0
BAL	17	34	6	9	1	392	6423	0	0
DET	17	30	9	11	0	467	6657	0	0
LV	17	35	9	6	0	439	5940	1	0
JAC	17	32	2	7	0	457	6237	0	1
